DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20100701,1-Jul-10,5,Thursday,Jueves,Jeudi,1,182,27,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100702,2-Jul-10,6,Friday,Viernes,Vendredi,2,183,27,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100703,3-Jul-10,7,Saturday,Sábado,Samedi,3,184,27,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100704,4-Jul-10,1,Sunday,Domingo,Dimanche,4,185,28,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100705,5-Jul-10,2,Monday,Lunes,Lundi,5,186,28,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100706,6-Jul-10,3,Tuesday,Martes,Mardi,6,187,28,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100707,7-Jul-10,4,Wednesday,Miércoles,Mercredi,7,188,28,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100708,8-Jul-10,5,Thursday,Jueves,Jeudi,8,189,28,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100709,9-Jul-10,6,Friday,Viernes,Vendredi,9,190,28,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100710,10-Jul-10,7,Saturday,Sábado,Samedi,10,191,28,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100711,11-Jul-10,1,Sunday,Domingo,Dimanche,11,192,29,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100712,12-Jul-10,2,Monday,Lunes,Lundi,12,193,29,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100713,13-Jul-10,3,Tuesday,Martes,Mardi,13,194,29,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100714,14-Jul-10,4,Wednesday,Miércoles,Mercredi,14,195,29,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100715,15-Jul-10,5,Thursday,Jueves,Jeudi,15,196,29,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100716,16-Jul-10,6,Friday,Viernes,Vendredi,16,197,29,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100717,17-Jul-10,7,Saturday,Sábado,Samedi,17,198,29,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100718,18-Jul-10,1,Sunday,Domingo,Dimanche,18,199,30,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100719,19-Jul-10,2,Monday,Lunes,Lundi,19,200,30,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100720,20-Jul-10,3,Tuesday,Martes,Mardi,20,201,30,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100721,21-Jul-10,4,Wednesday,Miércoles,Mercredi,21,202,30,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100722,22-Jul-10,5,Thursday,Jueves,Jeudi,22,203,30,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100723,23-Jul-10,6,Friday,Viernes,Vendredi,23,204,30,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100724,24-Jul-10,7,Saturday,Sábado,Samedi,24,205,30,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100725,25-Jul-10,1,Sunday,Domingo,Dimanche,25,206,31,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100726,26-Jul-10,2,Monday,Lunes,Lundi,26,207,31,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100727,27-Jul-10,3,Tuesday,Martes,Mardi,27,208,31,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100728,28-Jul-10,4,Wednesday,Miércoles,Mercredi,28,209,31,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100729,29-Jul-10,5,Thursday,Jueves,Jeudi,29,210,31,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100730,30-Jul-10,6,Friday,Viernes,Vendredi,30,211,31,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100731,31-Jul-10,7,Saturday,Sábado,Samedi,31,212,31,July,Julio,Juillet,7,3,2010,2,1,2011,1
20100801,1-Aug-10,1,Sunday,Domingo,Dimanche,1,213,32,August,Agosto,Août,8,3,2010,2,1,2011,1
20100802,2-Aug-10,2,Monday,Lunes,Lundi,2,214,32,August,Agosto,Août,8,3,2010,2,1,2011,1
20100803,3-Aug-10,3,Tuesday,Martes,Mardi,3,215,32,August,Agosto,Août,8,3,2010,2,1,2011,1
20100804,4-Aug-10,4,Wednesday,Miércoles,Mercredi,4,216,32,August,Agosto,Août,8,3,2010,2,1,2011,1
20100805,5-Aug-10,5,Thursday,Jueves,Jeudi,5,217,32,August,Agosto,Août,8,3,2010,2,1,2011,1
20100806,6-Aug-10,6,Friday,Viernes,Vendredi,6,218,32,August,Agosto,Août,8,3,2010,2,1,2011,1
20100807,7-Aug-10,7,Saturday,Sábado,Samedi,7,219,32,August,Agosto,Août,8,3,2010,2,1,2011,1
20100808,8-Aug-10,1,Sunday,Domingo,Dimanche,8,220,33,August,Agosto,Août,8,3,2010,2,1,2011,1
20100809,9-Aug-10,2,Monday,Lunes,Lundi,9,221,33,August,Agosto,Août,8,3,2010,2,1,2011,1
20100810,10-Aug-10,3,Tuesday,Martes,Mardi,10,222,33,August,Agosto,Août,8,3,2010,2,1,2011,1
20100811,11-Aug-10,4,Wednesday,Miércoles,Mercredi,11,223,33,August,Agosto,Août,8,3,2010,2,1,2011,1
20100812,12-Aug-10,5,Thursday,Jueves,Jeudi,12,224,33,August,Agosto,Août,8,3,2010,2,1,2011,1
20100813,13-Aug-10,6,Friday,Viernes,Vendredi,13,225,33,August,Agosto,Août,8,3,2010,2,1,2011,1
20100814,14-Aug-10,7,Saturday,Sábado,Samedi,14,226,33,August,Agosto,Août,8,3,2010,2,1,2011,1
20100815,15-Aug-10,1,Sunday,Domingo,Dimanche,15,227,34,August,Agosto,Août,8,3,2010,2,1,2011,1
20100816,16-Aug-10,2,Monday,Lunes,Lundi,16,228,34,August,Agosto,Août,8,3,2010,2,1,2011,1
20100817,17-Aug-10,3,Tuesday,Martes,Mardi,17,229,34,August,Agosto,Août,8,3,2010,2,1,2011,1
20100818,18-Aug-10,4,Wednesday,Miércoles,Mercredi,18,230,34,August,Agosto,Août,8,3,2010,2,1,2011,1
20100819,19-Aug-10,5,Thursday,Jueves,Jeudi,19,231,34,August,Agosto,Août,8,3,2010,2,1,2011,1
20100820,20-Aug-10,6,Friday,Viernes,Vendredi,20,232,34,August,Agosto,Août,8,3,2010,2,1,2011,1
20100821,21-Aug-10,7,Saturday,Sábado,Samedi,21,233,34,August,Agosto,Août,8,3,2010,2,1,2011,1
20100822,22-Aug-10,1,Sunday,Domingo,Dimanche,22,234,35,August,Agosto,Août,8,3,2010,2,1,2011,1
20100823,23-Aug-10,2,Monday,Lunes,Lundi,23,235,35,August,Agosto,Août,8,3,2010,2,1,2011,1
20100824,24-Aug-10,3,Tuesday,Martes,Mardi,24,236,35,August,Agosto,Août,8,3,2010,2,1,2011,1
20100825,25-Aug-10,4,Wednesday,Miércoles,Mercredi,25,237,35,August,Agosto,Août,8,3,2010,2,1,2011,1
20100826,26-Aug-10,5,Thursday,Jueves,Jeudi,26,238,35,August,Agosto,Août,8,3,2010,2,1,2011,1
20100827,27-Aug-10,6,Friday,Viernes,Vendredi,27,239,35,August,Agosto,Août,8,3,2010,2,1,2011,1
20100828,28-Aug-10,7,Saturday,Sábado,Samedi,28,240,35,August,Agosto,Août,8,3,2010,2,1,2011,1
20100829,29-Aug-10,1,Sunday,Domingo,Dimanche,29,241,36,August,Agosto,Août,8,3,2010,2,1,2011,1
20100830,30-Aug-10,2,Monday,Lunes,Lundi,30,242,36,August,Agosto,Août,8,3,2010,2,1,2011,1
20100831,31-Aug-10,3,Tuesday,Martes,Mardi,31,243,36,August,Agosto,Août,8,3,2010,2,1,2011,1
20100901,1-Sep-10,4,Wednesday,Miércoles,Mercredi,1,244,36,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100902,2-Sep-10,5,Thursday,Jueves,Jeudi,2,245,36,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100903,3-Sep-10,6,Friday,Viernes,Vendredi,3,246,36,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100904,4-Sep-10,7,Saturday,Sábado,Samedi,4,247,36,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100905,5-Sep-10,1,Sunday,Domingo,Dimanche,5,248,37,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100906,6-Sep-10,2,Monday,Lunes,Lundi,6,249,37,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100907,7-Sep-10,3,Tuesday,Martes,Mardi,7,250,37,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100908,8-Sep-10,4,Wednesday,Miércoles,Mercredi,8,251,37,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100909,9-Sep-10,5,Thursday,Jueves,Jeudi,9,252,37,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100910,10-Sep-10,6,Friday,Viernes,Vendredi,10,253,37,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100911,11-Sep-10,7,Saturday,Sábado,Samedi,11,254,37,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100912,12-Sep-10,1,Sunday,Domingo,Dimanche,12,255,38,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100913,13-Sep-10,2,Monday,Lunes,Lundi,13,256,38,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100914,14-Sep-10,3,Tuesday,Martes,Mardi,14,257,38,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
